,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive
179,Intermarche,63,Express Clermont-Ferrand,Express_Clermont-Ferrand,63000 Clermont-Ferrand,135 rue Anatole France-63000 Clermont-Ferrand,45.779468,3.115016,https://www.intermarche.com/magasins/06686/clermont-ferrand-63000/infos-pratiques
180,Intermarche,63,Super Clermont-Ferrand,Super_Clermont-Ferrand,63100 Clermont-Ferrand,31 Rue Rouvier-La Plaine-63100 Clermont-Ferrand,45.806996,3.117544,https://www.intermarche.com/magasins/01904/clermont-ferrand-63100/infos-pratiques
181,Intermarche,63,Super Clermont-Ferrand,Super_Clermont-Ferrand,63000 Clermont-Ferrand,98 rue Fontgiève-63000 Clermont-Ferrand,45.782045,3.075865,https://www.intermarche.com/magasins/08118/clermont-ferrand-63000/infos-pratiques
182,Intermarche,63,Super Combronde,Super_Combronde,63460 Combronde,131 Avenue clémentel-63460 Combronde,45.984403,3.087253,https://www.intermarche.com/magasins/06878/combronde-63460/infos-pratiques
183,Intermarche,63,Super Courpière,Super_Courpiere,63120 Courpière,54 avenue de Thiers-63120 Courpière,45.761969,3.53999,https://www.intermarche.com/magasins/08802/courpiere-63120/infos-pratiques
184,Intermarche,63,Super Ennezat,Super_Ennezat,63720 Ennezat,Route de Riom-ZAC des Champiaux-63720 Ennezat,45.895064,3.212857,https://www.intermarche.com/magasins/06866/ennezat-63720/infos-pratiques
185,Intermarche,63,Super Gerzat,Super_Gerzat,63360 Gerzat,Rue Des Martyrs-63360 Gerzat,45.819445,3.148115,https://www.intermarche.com/magasins/01097/gerzat-63360/infos-pratiques
186,Intermarche,63,Super Issoire,Super_Issoire,63500 Issoire,488 route de Perrier-63500 Issoire,45.543561,3.232578,https://www.intermarche.com/magasins/08511/issoire-63500/infos-pratiques
187,Intermarche,63,Contact La Roche Blanche,Contact_La_Roche_Blanche,63670 La Roche Blanche,Lieu-dit Chateaugay-63670 La Roche Blanche,45.701754,3.137548,https://www.intermarche.com/magasins/08135/la-roche-blanche-63670/infos-pratiques
188,Intermarche,63,Hyper Le Cendre,Hyper_Le_Cendre,63670 Le Cendre,Rue Jean Mermoz-63670 Le Cendre,45.728337,3.18606,https://www.intermarche.com/magasins/08671/le-cendre-63670/infos-pratiques
189,Intermarche,63,Super Murat le Quaire,Super_Murat_le_Quaire,63150 Murat le Quaire,Avenue du Marechal Leclerc-63150 Murat le Quaire,45.594492,2.761678,https://www.intermarche.com/magasins/06885/murat-le-quaire-63150/infos-pratiques
190,Intermarche,63,Contact Perignat sur Allier,Contact_Perignat_sur_Allier,63800 Perignat sur Allier,8 rue Bellerive-Route de Cournon-63800 Perignat sur Allier,45.728392,3.222476,https://www.intermarche.com/magasins/08151/perignat-sur-allier-63800/infos-pratiques
191,Intermarche,63,Super Pionsat,Super_Pionsat,63330 Pionsat,21 Route Lafayette-63330 Pionsat,46.111142,2.697627,https://www.intermarche.com/magasins/06453/pionsat-63330/infos-pratiques
192,Intermarche,63,Super Pont du Chateau,Super_Pont_du_Chateau,63430 Pont du Chateau,9 rue Roger Prat-63430 Pont du Chateau,45.800427,3.243017,https://www.intermarche.com/magasins/08727/pont-du-chateau-63430/infos-pratiques
193,Intermarche,63,Contact Randan,Contact_Randan,63310 Randan,Place des Charmes-63310 Randan,46.015415,3.348699,https://www.intermarche.com/magasins/50262/randan-63310/infos-pratiques
194,Intermarche,63,Contact Romagnat,Contact_Romagnat,63540 Romagnat,9001 Boulevard Georges Couthon-63540 Romagnat,45.735092,3.099561,https://www.intermarche.com/magasins/09708/romagnat-63540/infos-pratiques
195,Intermarche,63,Super Saint Georges De Mons,Super_Saint_Georges_De_Mons,63780 Saint Georges De Mons,Rue Champs Des Grelières-D19-63780 Saint Georges De Mons,45.932752,2.835717,https://www.intermarche.com/magasins/08945/saint-georges-de-mons-63780/infos-pratiques
196,Intermarche,63,Contact Tallende,Contact_Tallende,63450 Tallende,Route de Clermont-63450 Tallende,45.672281,3.127466,https://www.intermarche.com/magasins/50127/tallende-63450/infos-pratiques
197,Intermarche,63,Super Thiers,Super_Thiers,63300 Thiers,22 Avenue du Général de Gaulle-63300 Thiers,45.843551,3.51789,https://www.intermarche.com/magasins/08651/thiers-63300/infos-pratiques
198,Intermarche,69,Super Amplepuis,Super_Amplepuis,69550 Amplepuis,Route de Roanne-69550 Amplepuis,45.978679,4.320296,https://www.intermarche.com/magasins/10672/amplepuis-69550/infos-pratiques
199,Intermarche,69,Super Belleville En Beaujolais,Super_Belleville_En_Beaujolais,69220 Belleville En Beaujolais,Le Pré De La Cloche-69220 Belleville En Beaujolais,46.104356,4.747885,https://www.intermarche.com/magasins/10109/belleville-en-beaujolais-69220/infos-pratiques
200,Intermarche,69,Super Chassieu,Super_Chassieu,69680 Chassieu,28 route de Lyon-69680 Chassieu,45.738924,4.958271,https://www.intermarche.com/magasins/10679/chassieu-69680/infos-pratiques
201,Intermarche,69,Super Chazay-d'Azergues,Super_Chazay-d_Azergues,69380 Chazay-d'Azergues,8 Rue Marius Berliet-69380 Chazay-d'Azergues,45.868034,4.699541,https://www.intermarche.com/magasins/06558/chazay-d'azergues-69380/infos-pratiques
202,Intermarche,69,Super Corbas,Super_Corbas,69960 Corbas,1 Rue Jean Macé-Zac Des Epis D'or-69960 Corbas,45.659842,4.901383,https://www.intermarche.com/magasins/10138/corbas-69960/infos-pratiques
203,Intermarche,69,Contact Cours-la-ville,Contact_Cours-la-ville,69470 Cours-la-ville,1 Boulevard Pierre de Coubertin-69470 Cours-la-ville,46.105555,4.320949,https://www.intermarche.com/magasins/06673/cours-la-ville-69470/infos-pratiques
