index,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
55,Leclerc,38,Leclerc Echirolles - Comboire,Leclerc_Echirolles_-_Comboire, 38130 Echirolles , 22 rue de comboire 38130 Echirolles ,45.14511,5.69242,https://fd11-courses.leclercdrive.fr/magasin-063801-063801-echirolles---comboire.aspx,http://maps.google.fr/maps?q=45.14511,5.69242
56,Leclerc,38,Leclerc Reventin-Vaugris,Leclerc_Reventin-Vaugris, 38121 Reventin Vaugris , route du barrage 38121 Reventin Vaugris ,45.491322,4.826651,https://fd5-courses.leclercdrive.fr/magasin-093801-093801-reventin-vaugris.aspx,http://maps.google.fr/maps?q=45.491322,4.826651
57,Leclerc,38,Leclerc Saint-Quentin-Fallavier,Leclerc_Saint-Quentin-Fallavier, 38070 Saint-Quentin Fallavier , RN 1006 38070 Saint-Quentin Fallavier ,45.660963,5.102897,https://fd10-courses.leclercdrive.fr/magasin-083811-083811-saint-quentin-fallavier.aspx,http://maps.google.fr/maps?q=45.660963,5.102897
58,Leclerc,38,Leclerc Vienne,Leclerc_Vienne, 38200 Vienne , Chemin des mines 38200 Vienne ,45.542964,4.853774,https://fd5-courses.leclercdrive.fr/magasin-093802-093802-vienne.aspx,http://maps.google.fr/maps?q=45.542964,4.853774
59,Leclerc,69,Leclerc Chaponnay,Leclerc_Chaponnay, 69970 Chaponnay , Avenue de Chaponnay 69970 Chaponnay ,45.650048,4.924493,https://fd12-courses.leclercdrive.fr/magasin-256901-256901-chaponnay.aspx,http://maps.google.fr/maps?q=45.650048,4.924493
60,Leclerc,69,Leclerc Givors,Leclerc_Givors, 69700 Givors , 4 rue de l'industrie 69700 Givors ,45.58111,4.74278,https://fd8-courses.leclercdrive.fr/magasin-054201-054201-givors.aspx,http://maps.google.fr/maps?q=45.58111,4.74278
61,Leclerc,42,Leclerc Andrézieux Bouthéon,Leclerc_Andrézieux_Bouthéon, 42163 Andrezieux Bouthéon , 8 Boulevard Charles Voisin 42163 Andrezieux Bouthéon ,45.5372214,4.2826512,https://fd13-courses.leclercdrive.fr/magasin-024201-024201-andrezieux-boutheon.aspx,http://maps.google.fr/maps?q=45.5372214,4.2826512
62,Leclerc,42,Leclerc Chavanay,Leclerc_Chavanay, 42410 Chavanay , ZA de Verlieu 42410 Chavanay ,45.429653,4.741523,https://fd14-courses.leclercdrive.fr/magasin-074201-074201-chavanay.aspx,http://maps.google.fr/maps?q=45.429653,4.741523
63,Leclerc,42,Leclerc Firminy,Leclerc_Firminy, 42700 Firminy , D500-1 42700 Firminy ,45.387292,4.300213,https://fd3-courses.leclercdrive.fr/magasin-064202-064202-firminy.aspx,http://maps.google.fr/maps?q=45.387292,4.300213
64,Leclerc,42,Leclerc La Ricamarie  Saint-Etienne,Leclerc_La_Ricamarie__Saint-Etienne, 42150 La Ricamarie , rue Jean Moulin 42150 La Ricamarie ,45.41466,4.372358,https://fd3-courses.leclercdrive.fr/magasin-064201-064201-la-ricamarie-saint-etienne.aspx,http://maps.google.fr/maps?q=45.41466,4.372358
