,supermarket,department,nom_drive,nom_driveUrl,city,adresse,latitude,longitude,lien_drive,lien_coord
111,Casino,34,Supermarché Casino BEZIERS Riquet,Supermarche_Casino_BEZIERS_Riquet,34032 BEZIERS,5 ALLEES PAUL RIQUET 34032 BEZIERS,43.3424639,3.2121908,http://www.casino.fr/ecommerce/GC-catalog/fr/WE34979/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=43.3424639%2C3.2121908&hl=fr
114,Casino,34,Supermarché Casino Montpellier Rte De Toulouse,Supermarche_Casino_Montpellier_Rte_De_Toulouse,34000 MONTPELLIER,59 ROUTE DE TOULOUSE 34000 MONTPELLIER,43.59729197,3.864169,http://www.casino.fr/ecommerce/GC-catalog/fr/WE34961/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.59729197%2C3.864169&hl=fr
115,Casino,34,Casino #drive24/24 MONTPELLIER Trinquat,Casino__drive24_24_MONTPELLIER_Trinquat,34172 MONTPELLIER,201 AVENUE DU PONT TRINQUAT 34172 MONTPELLIER,43.6004672,3.8870919,http://www.casino.fr/ecommerce/GC-catalog/fr/WE34738/?moderetrait=ZC&depotIdPrl=DXXFNH&depotIdRef=A34738,https://maps.google.com/maps?dirflg=d&daddr=43.6004672%2C3.8870919&hl=fr
119,Casino,38,Supermarché Casino GRENOBLE Le Rondeau,Supermarche_Casino_GRENOBLE_Le_Rondeau,38151 ECHIROLLES,46 COURS JEAN JAURES 38151 ECHIROLLES,45.151311,5.706136,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38989/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.151311%2C5.706136&hl=fr
120,Casino,38,Supermarché Casino Grenoble Joseph Vallier,Supermarche_Casino_Grenoble_Joseph_Vallier,38185 GRENOBLE,24 BIS BOULEVARD JOSEPH VALLIER 38185 GRENOBLE,45.1803,5.71159,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38990/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.1803%2C5.71159&hl=fr
122,Casino,38,Supermarché Casino Saint-Barthelemy-Beaurepaire,Supermarche_Casino_Saint-Barthelemy-Beaurepaire,38363 ST BARTHELEMY BEAUREPAIRE,1387 ROUTE DE BEAUREPAIRE 38363 ST BARTHELEMY BEAUREPAIRE,45.34191463,5.08211802,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38250/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.34191463%2C5.08211802&hl=fr
123,Casino,38,Supermarché Casino Saint-Jean-De-Bournay,Supermarche_Casino_Saint-Jean-De-Bournay,38399 ST JEAN DE BOURNAY,4 ROUTE DES ECHARRIERES 38399 ST JEAN DE BOURNAY,45.49643468,5.1452056,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38401/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.49643468%2C5.1452056&hl=fr
124,Casino,38,Supermarché Casino Susville,Supermarche_Casino_Susville,38499 SUSVILLE,ALLEE DE LA MOUCHE 38499 SUSVILLE,44.92458387,5.78331232,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38560/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=44.92458387%2C5.78331232&hl=fr
125,Casino,38,Supermarché Casino Vézeronce,Supermarche_Casino_Vezeronce,38543 VEZERONCE CURTIN,230 ROUTE DE LA CHARTREUSE 38543 VEZERONCE CURTIN,45.6555609,5.479809,http://www.casino.fr/ecommerce/GC-catalog/fr/WE38963/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.6555609%2C5.479809&hl=fr
128,Casino,40,Supermarché Casino SAINT-PIERRE-DU-MONT,Supermarche_Casino_SAINT-PIERRE-DU-MONT,40281 ST PIERRE DU MONT,600 AVENUE DE SAINT SEVER 40281 ST PIERRE DU MONT,43.87797,-0.50581,http://www.casino.fr/ecommerce/GC-catalog/fr/WE40398/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=43.87797%2C-0.50581&hl=fr
130,Casino,41,Supermarché Casino Veuzain-Sur-Loire,Supermarche_Casino_Veuzain-Sur-Loire,41167 VEUZAIN SUR LOIRE,35 RUE GUSTAVE MARC 41167 VEUZAIN SUR LOIRE,47.4969325,1.1785576,http://www.casino.fr/ecommerce/GC-catalog/fr/WEDXGWK/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=47.4969325%2C1.1785576&hl=fr
131,Casino,42,Supermarché Casino Feurs Randan,Supermarche_Casino_Feurs_Randan,42094 FEURS,4 GRANDE RUE DE RANDAN 42094 FEURS,45.75,4.2333,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42558/?moderetrait=Z4,https://maps.google.com/maps?dirflg=d&daddr=45.75%2C4.2333&hl=fr
132,Casino,42,Casino #toutprès Saint Etienne Square Stalingrad,Casino__toutpres_Saint_Etienne_Square_Stalingrad,42218 ST ETIENNE,22 AVENUE DENFERT ROCHEREAU 42218 ST ETIENNE,45.4427739,4.3986208,http://www.casino.fr/ecommerce/GC-catalog/fr/WE42567/?moderetrait=Z2,https://maps.google.com/maps?dirflg=d&daddr=45.4427739%2C4.3986208&hl=fr
